#Format:deltacp   chi^2 
-180 7.20039e-07 
-176.4 0.335695 
-172.8 0.666524 
-169.2 0.991652 
-165.6 1.31028 
-162 1.62165 
-158.4 1.92505 
-154.8 2.21981 
-151.2 2.50532 
-147.6 2.78103 
-144 3.04644 
-140.4 3.3011 
-136.8 3.54464 
-133.2 3.77673 
-129.6 3.99715 
-126 4.2057 
-122.4 4.40229 
-118.8 4.58687 
-115.2 4.7595 
-111.6 4.92027 
-108 5.06939 
-104.4 5.20712 
-100.8 5.3338 
-97.2 5.44986 
-93.6 5.5558 
-90 5.65218 
-86.4 5.73966 
-82.8 5.81893 
-79.2 5.89078 
-75.6 5.95604 
-72 6.01559 
-68.4 6.04918 
-64.8 5.8042 
-61.2 5.54705 
-57.6 5.27828 
-54 4.99847 
-50.4 4.70825 
-46.8 4.4083 
-43.2 4.09936 
-39.6 3.78218 
-36 3.45757 
-32.4 3.12638 
-28.8 2.78947 
-25.2 2.44774 
-21.6 2.10212 
-18 1.75354 
-14.4 1.40297 
-10.8 1.05136 
-7.2 0.69968 
-3.6 0.348907 
-1.64313e-13 9.84638e-07 
3.6 0.346089 
7.2 0.688424 
10.8 1.02609 
14.4 1.3582 
18 1.6839 
21.6 2.00236 
25.2 2.3128 
28.8 2.6145 
32.4 2.90677 
36 3.18899 
39.6 3.46058 
43.2 3.72104 
46.8 3.96993 
50.4 4.2069 
54 4.43165 
57.6 4.64396 
61.2 4.84372 
64.8 5.03087 
68.4 5.20546 
72 5.36761 
75.6 5.51755 
79.2 5.65557 
82.8 5.78207 
86.4 5.89752 
90 6.00249 
93.6 6.09761 
97.2 6.18359 
100.8 6.26121 
104.4 6.3313 
108 6.29619 
111.6 6.05815 
115.2 5.80722 
118.8 5.54403 
122.4 5.26925 
126 4.98362 
129.6 4.68794 
133.2 4.38301 
136.8 4.0697 
140.4 3.74891 
144 3.42156 
147.6 3.0886 
151.2 2.75098 
154.8 2.40969 
158.4 2.0657 
162 1.72 
165.6 1.37358 
169.2 1.02742 
172.8 0.68247 
176.4 0.339688 
180 9.14308e-07 
