#Format:deltacp   chi^2 
-180 7.78274e-07 
-176.4 0.345497 
-172.8 0.686436 
-169.2 1.02199 
-165.6 1.35135 
-162 1.67379 
-158.4 1.98858 
-154.8 2.29507 
-151.2 2.59266 
-147.6 2.88079 
-144 3.15898 
-140.4 3.4268 
-136.8 3.68386 
-133.2 3.92988 
-129.6 4.16461 
-126 4.38789 
-122.4 4.59961 
-118.8 4.79975 
-115.2 4.98835 
-111.6 5.16552 
-108 5.33147 
-104.4 5.48643 
-100.8 5.63076 
-97.2 5.76484 
-93.6 5.88916 
-90 6.00424 
-86.4 6.1107 
-82.8 6.20917 
-79.2 6.30037 
-75.6 6.38506 
-72 6.46402 
-68.4 6.25188 
-64.8 5.99283 
-61.2 5.72197 
-57.6 5.43983 
-54 5.14701 
-50.4 4.84416 
-46.8 4.53196 
-43.2 4.21117 
-39.6 3.88254 
-36 3.54689 
-32.4 3.20506 
-28.8 2.85793 
-25.2 2.50639 
-21.6 2.15135 
-18 1.79374 
-14.4 1.4345 
-10.8 1.07458 
-7.2 0.714896 
-3.6 0.356398 
-1.64313e-13 8.12261e-07 
3.6 0.353396 
7.2 0.702914 
10.8 1.0477 
14.4 1.38695 
18 1.71988 
21.6 2.04576 
25.2 2.36389 
28.8 2.67365 
32.4 2.97444 
36 3.26573 
39.6 3.54706 
43.2 3.818 
46.8 4.07822 
50.4 4.32741 
54 4.56535 
57.6 4.79188 
61.2 5.00691 
64.8 5.21043 
68.4 5.40246 
72 5.58313 
75.6 5.75262 
79.2 5.91119 
82.8 6.05915 
86.4 6.1969 
90 6.3249 
93.6 6.44364 
97.2 6.55371 
100.8 6.65572 
104.4 6.69475 
108 6.46023 
111.6 6.21278 
115.2 5.95291 
118.8 5.6812 
122.4 5.39826 
126 5.10476 
129.6 4.8014 
133.2 4.48896 
136.8 4.16822 
140.4 3.84003 
144 3.50526 
147.6 3.1648 
151.2 2.81957 
154.8 2.47051 
158.4 2.11857 
162 1.7647 
165.6 1.40988 
169.2 1.05506 
172.8 0.701183 
176.4 0.349191 
180 7.52086e-07 
