#Format:deltacp   chi^2 
-180 6.27044e-07 
-176.4 0.338447 
-172.8 0.671945 
-169.2 0.999647 
-165.6 1.32074 
-162 1.63446 
-158.4 1.94008 
-154.8 2.23693 
-151.2 2.52438 
-147.6 2.80188 
-144 3.0689 
-140.4 3.325 
-136.8 3.5698 
-133.2 3.80298 
-129.6 4.02428 
-126 4.23353 
-122.4 4.4306 
-118.8 4.61547 
-115.2 4.78818 
-111.6 4.94885 
-108 5.09766 
-104.4 5.23489 
-100.8 5.36089 
-97.2 5.47609 
-93.6 5.58101 
-90 5.67622 
-86.4 5.76238 
-82.8 5.84024 
-79.2 5.91056 
-75.6 5.97423 
-72 6.03213 
-68.4 6.08521 
-64.8 5.87332 
-61.2 5.61308 
-57.6 5.34103 
-54 5.05777 
-50.4 4.76395 
-46.8 4.46026 
-43.2 4.14746 
-39.6 3.82632 
-36 3.49768 
-32.4 3.1624 
-28.8 2.82136 
-25.2 2.47549 
-21.6 2.12573 
-18 1.77304 
-14.4 1.41839 
-10.8 1.06278 
-7.2 0.707181 
-3.6 0.352595 
-1.64313e-13 8.53261e-07 
3.6 0.349634 
7.2 0.695354 
10.8 1.03623 
14.4 1.37135 
18 1.69985 
21.6 2.0209 
25.2 2.3337 
28.8 2.63752 
32.4 2.93165 
36 3.21547 
39.6 3.4884 
43.2 3.74994 
46.8 3.99964 
50.4 4.23715 
54 4.46216 
57.6 4.67447 
61.2 4.87396 
64.8 5.06058 
68.4 5.23438 
72 5.3955 
75.6 5.54416 
79.2 5.68069 
82.8 5.8055 
86.4 5.91908 
90 6.02203 
93.6 6.11501 
97.2 6.19877 
100.8 6.27413 
104.4 6.34196 
108 6.34751 
111.6 6.10806 
115.2 5.8555 
118.8 5.59048 
122.4 5.31369 
126 5.02588 
129.6 4.72786 
133.2 4.42045 
136.8 4.10454 
140.4 3.78104 
144 3.4509 
147.6 3.11506 
151.2 2.77452 
154.8 2.43026 
158.4 2.08329 
162 1.7346 
165.6 1.38519 
169.2 1.03606 
172.8 0.688179 
176.4 0.342513 
180 8.90346e-07 
