#Format:deltacp   chi^2 
-180 1.08703e-06 
-176.4 0.401567 
-172.8 0.796422 
-169.2 1.18352 
-165.6 1.56187 
-162 1.93053 
-158.4 2.2886 
-154.8 2.63526 
-151.2 2.96973 
-147.6 3.29132 
-144 3.5994 
-140.4 3.89339 
-136.8 4.17283 
-133.2 4.4373 
-129.6 4.6865 
-126 4.92019 
-122.4 5.13822 
-118.8 5.34056 
-115.2 5.52726 
-111.6 5.69846 
-108 5.85441 
-104.4 5.99549 
-100.8 6.12214 
-97.2 6.23495 
-93.6 6.3346 
-90 6.42188 
-86.4 6.49771 
-82.8 6.56309 
-79.2 6.61914 
-75.6 6.66708 
-72 6.7082 
-68.4 6.74391 
-64.8 6.77563 
-61.2 6.73907 
-57.6 6.41671 
-54 6.08006 
-50.4 5.72996 
-46.8 5.36728 
-43.2 4.99298 
-39.6 4.60804 
-36 4.21352 
-32.4 3.8105 
-28.8 3.40014 
-25.2 2.98361 
-21.6 2.56212 
-18 2.13691 
-14.4 1.70925 
-10.8 1.28043 
-7.2 0.851743 
-3.6 0.424498 
-1.64313e-13 1.2021e-06 
3.6 0.420452 
7.2 0.835574 
10.8 1.2441 
14.4 1.6448 
18 2.03647 
21.6 2.41797 
25.2 2.78818 
28.8 3.14608 
32.4 3.4907 
36 3.82114 
39.6 4.13661 
43.2 4.43639 
46.8 4.71988 
50.4 4.98657 
54 5.23609 
57.6 5.46817 
61.2 5.68269 
64.8 5.87964 
68.4 6.05918 
72 6.22158 
75.6 6.36727 
79.2 6.49682 
82.8 6.61095 
86.4 6.71051 
90 6.79649 
93.6 6.87003 
97.2 6.93237 
100.8 6.98487 
104.4 7.02897 
108 7.06622 
111.6 7.0982 
115.2 7.02738 
118.8 6.70892 
122.4 6.37583 
126 6.02912 
129.6 5.66989 
133.2 5.29927 
136.8 4.91843 
140.4 4.52856 
144 4.13089 
147.6 3.72667 
151.2 3.31714 
154.8 2.90356 
158.4 2.4872 
162 2.06932 
165.6 1.65116 
169.2 1.23395 
172.8 0.818897 
176.4 0.407196 
180 1.33322e-06 
