#Format:deltacp   chi^2 
-180 8.01143e-07 
-176.4 0.324051 
-172.8 0.642908 
-169.2 0.955674 
-165.6 1.26149 
-162 1.55953 
-158.4 1.84901 
-154.8 2.12922 
-151.2 2.39945 
-147.6 2.6591 
-144 2.90757 
-140.4 3.14436 
-136.8 3.36901 
-133.2 3.58114 
-129.6 3.78043 
-126 3.96662 
-122.4 4.13954 
-118.8 4.29909 
-115.2 4.44525 
-111.6 4.57807 
-108 4.69771 
-104.4 4.80439 
-100.8 4.89843 
-97.2 4.98025 
-93.6 5.05036 
-90 5.10935 
-86.4 5.15793 
-82.8 5.1969 
-79.2 5.22715 
-75.6 5.24968 
-72 5.26557 
-68.4 5.27598 
-64.8 5.28217 
-61.2 5.28545 
-57.6 5.06637 
-54 4.80581 
-50.4 4.53385 
-46.8 4.25121 
-43.2 3.95863 
-39.6 3.65692 
-36 3.34691 
-32.4 3.02948 
-28.8 2.70557 
-25.2 2.3761 
-21.6 2.04208 
-18 1.70451 
-14.4 1.36442 
-10.8 1.02285 
-7.2 0.680881 
-3.6 0.339572 
-1.64313e-13 8.17114e-07 
3.6 0.336762 
7.2 0.66965 
10.8 0.997612 
14.4 1.31961 
18 1.63465 
21.6 1.94174 
25.2 2.23996 
28.8 2.5284 
32.4 2.80622 
36 3.07265 
39.6 3.32695 
43.2 3.56849 
46.8 3.79668 
50.4 4.01103 
54 4.21115 
57.6 4.39673 
61.2 4.56755 
64.8 4.72353 
68.4 4.86466 
72 4.99107 
75.6 5.10299 
79.2 5.20077 
82.8 5.28491 
86.4 5.35598 
90 5.41471 
93.6 5.46194 
97.2 5.49861 
100.8 5.52579 
104.4 5.54463 
108 5.5564 
111.6 5.56243 
115.2 5.56413 
118.8 5.33564 
122.4 5.07688 
126 4.8064 
129.6 4.52507 
133.2 4.2338 
136.8 3.93354 
140.4 3.62527 
144 3.30998 
147.6 2.98871 
151.2 2.6625 
154.8 2.33238 
158.4 1.9994 
162 1.66463 
165.6 1.3291 
169.2 0.99386 
172.8 0.659928 
176.4 0.328313 
180 8.36036e-07 
